algorithm,raw_fitness,raw_precision,raw_generalization,raw_simplicity,filtered_fitness,filtered_precision,filtered_generalization,filtered_simplicity
alpha,0.637766272135165,0.6623544318535728,0.9855500389488964,0.6571428571428571,0.887219147181286,0.8603556429464505,0.9965894358891554,1.0
heuristics,0.928550211070116,0.9913625082917359,0.8829816345523385,0.5483870967741935,0.9137962066582652,0.9899614818067869,0.9707787324137023,0.7142857142857143
inductive,1.0,0.5822525881810321,0.9752594106217893,0.6237623762376238,0.9944160900489408,0.7822711641379235,0.9951245632266205,0.7333333333333333
